Reference Angle [degree],Measured Angle [degree]
258.047,75.703125
260.156,77.10938
262.266,78.51563
263.672,80.625
265.781,82.73438
267.891,84.84375
268.594,86.25
271.406,87.6563
272.813,89.7656
274.922,91.1719
276.328,93.2813
278.438,94.6875
280.547,96.0938
281.953,98.2031
284.063,99.6094
285.469,101.0156
287.578,103.125
288.984,105.2344
291.094,106.6406
293.203,108.0469
294.609,109.4531
296.719,110.8594
298.125,112.9688
300.234,114.375
302.344,115.7813
303.75,117.8906
305.859,120
307.266,121.4063
309.375,122.8125
310.781,124.2188
312.891,125.625
314.297,127.7344
316.406,129.8438
317.813,131.25
319.922,133.3594
321.328,134.0625
322.031,136.875
324.844,138.2813
326.953,140.3906
328.359,142.5
330.469,144.6094
331.875,146.7188
333.984,148.8281
335.391,150.9375
336.797,153.0469
338.906,155.1563
341.016,156.5625
342.422,159.375
344.531,161.4844
345.938,164.2969
348.047,166.4063
349.453,167.8125
351.563,171.3281
352.969,172.7344
355.078,174.8438
0.703125,183.281
2.10938,183.984
4.21875,186.094
5.625,186.797
355.781,177.656
358.594,179.766
7.03125,188.906
8.4375,191.719
11.25,194.531
11.9531,195.234
14.7656,196.641
16.875,199.453
18.2813,200.859
20.3906,202.969
22.5,204.375
23.9063,205.781
25.3125,207.891
27.4219,209.297
29.5313,210.703
31.6406,212.109
33.0469,214.219
35.1563,215.625
36.5625,217.734
37.9688,219.141
40.0781,220.547
42.1875,221.953
43.5938,224.063
45.7031,225.469
47.1094,226.875
49.2188,228.984
51.3281,230.391
52.7344,231.797
53.4375,233.906
56.25,235.313
58.3594,236.719
59.7656,238.125
61.875,240.938
63.2813,241.641
65.3906,243.75
66.7969,245.156
68.9063,247.266
71.0156,249.375
72.4219,250.781
73.8281,252.891
75.9375,254.297
78.0469,256.406
79.4531,257.813
81.5625,259.922
82.9688,261.328
85.0781,263.438
87.1875,264.844
88.5938,266.953
90,268.359
92.1094,269.766
94.2188,271.875
94.9219,273.984
97.7344,276.094
99.8438,276.797
101.25,278.906
102.656,280.313
104.766,281.719
106.875,283.828
108.984,285.234
110.391,285.938
112.5,287.344
113.906,289.453
115.313,291.563
118.125,292.969
119.531,294.375
121.641,295.781
123.047,297.188
125.156,298.594
126.563,300.703
128.672,302.109
130.078,303.516
132.188,304.922
133.594,306.328
135.703,308.438
137.109,310.547
139.219,312.656
140.625,314.063
142.734,315.469
144.141,317.578
146.25,319.688
147.656,321.797
149.766,323.203
151.172,324.609
153.281,326.719
155.391,328.828
156.797,331.641
158.906,333.75
160.313,335.859
162.422,337.969
163.828,340.078
165.938,342.188
167.344,344.297
169.453,347.109
170.859,349.219
172.969,351.328
173.672,353.438
175.781,355.547
177.891,357.656
180,359.766
182.109,1.875
183.516,3.984
185.625,5.391
187.734,8.203
189.141,9.609
191.25,11.719
192.656,13.125
194.766,15.234
196.172,18.047
198.281,19.453
200.391,21.563
201.797,22.969
203.906,24.375
205.313,26.484
207.422,27.891
208.828,29.297
210.938,30.703
212.344,32.813
213.75,34.219
215.859,36.328
217.969,37.734
220.078,39.844
222.188,41.25
223.594,42.656
225.703,44.063
227.813,46.172
229.219,47.578
229.922,49.688
232.734,51.094
234.844,52.5
236.25,54.609
238.359,56.016
240.469,58.125
241.875,59.531
243.984,60.938
244.688,62.344
247.5,64.453
249.609,66.563
251.016,67.969
253.125,70.078
253.828,71.484
256.641,73.594
